model_no,core_count,core_clock,boost_clock,graphics,socket
30001,8,4.2,5,Radeon,
30002,6,4.7,5.3,Radeon,
30003,6,3.7,4.6,,
30004,6,3.8,5.1,Radeon,
30005,24,3.2,6,Intel UHD Graphics 770,
30006,20,3.4,5.6,Intel UHD Graphics 770,
30007,6,2.5,4.4,,
30008,6,3.6,4.2,,
30009,8,4.5,5.4,Radeon,
30010,16,4.2,5.7,Radeon,
30011,6,3.5,4.4,,
30012,8,3.8,4.7,,
30013,10,3.7,4.9,,
30014,6,3.6,4.2,,
30015,12,3.6,5,Intel UHD Graphics 770,
30016,8,3.4,4.6,,
30017,16,3.4,5.4,Intel UHD Graphics 770,
30018,10,3.7,4.9,Intel UHD Graphics 770,
30019,8,3.4,4.5,,
30020,12,4.7,5.6,Radeon,
30021,6,3.9,4.4,Radeon Vega 7,
30022,12,3.7,4.8,,
30023,14,3.5,5.1,Intel UHD Graphics 770,
30024,24,3.2,6.2,Intel UHD Graphics 770,
30025,12,3.6,5,,
30026,4,3.3,4.3,,
30027,14,3.5,5.1,,
30028,8,3.6,5.3,Radeon,
30029,64,2.9,4.3,,
30030,24,3,5.8,Intel UHD Graphics 770,
30031,20,3.4,5.6,,
30032,10,2.5,4.6,,
30033,12,4.4,5.6,Radeon,
30034,16,3.2,5.2,Intel UHD Graphics 770,
30035,6,3.6,4.1,,
30036,16,4.5,5.7,Radeon,
30037,14,3.5,5.3,Intel UHD Graphics 770,
30038,8,3.6,4.4,,
30039,16,3.4,5.4,,
30040,8,3.8,4.6,Radeon Vega 8,
30041,8,3,4.1,,
30042,6,3.7,5,,
30043,16,3.4,4.9,,
30044,14,3.5,5.3,,
30045,6,4.1,5,Radeon 740M,
30046,24,3.2,6,,
30047,6,2.9,4.3,,
30048,6,3.7,4.2,Radeon Vega 7,
30049,4,3.8,4,,
30050,10,2.5,4.7,,
30051,12,3.6,5.4,Radeon,
30052,8,4.2,5.1,Radeon 780M,
30053,14,2.6,5,Intel UHD Graphics 770,
30054,6,3.4,3.9,,
30055,6,2.5,4.4,Intel UHD Graphics 730,
30056,8,3.6,4.9,Intel UHD Graphics 630,
30057,4,3.6,4,Radeon Vega 8,
30058,6,3.7,4.7,Intel UHD Graphics 630,
30059,6,4.3,5,Radeon 760M,
30060,24,3,5.8,,
30061,4,3.6,4.3,,
30062,32,3.7,4.5,,
30063,6,3.7,5,,
30064,20,2.1,5.4,,
30065,2,2,,,
30066,6,3.8,4.4,,
30067,8,3.7,4.3,,
30068,8,3.6,5,Intel UHD Graphics 630,
30069,4,3.5,4.7,,
30070,8,3.8,5.1,Intel UHD Graphics 630,
30071,12,3.8,4.6,,
30072,6,2.6,4.4,,
30073,14,2.5,4.8,Intel UHD Graphics 770,
30074,4,3.3,4.3,Intel UHD Graphics 730,
30075,16,3.2,5.2,,
30076,12,2.1,4.9,,
30077,4,3.4,4.5,,
30078,6,2.9,4.1,,
30079,4,4.2,4.5,Intel HD Graphics 630,
30080,4,4,4.2,Intel HD Graphics 530,
30081,24,3,6,Intel UHD Graphics 770,
30082,6,3.6,4.2,,
30083,16,2.1,5.2,,
30084,8,3.9,4.5,,
30085,8,3.6,5,Intel UHD Graphics 750,
30086,4,3.7,4.2,Radeon Vega 11,
30087,6,3.7,4.6,Intel UHD Graphics 630,
30088,8,3.5,5.3,Intel UHD Graphics 750,
30089,6,2.9,4.3,Intel UHD Graphics 630,
30090,4,3.2,3.6,Intel HD Graphics 530,
30091,6,3.6,4.2,,
30092,6,3.2,4.6,Intel UHD Graphics 630,
30093,10,3.7,5.3,Intel UHD Graphics 630,
30094,20,2.1,5.4,Intel UHD Graphics 770,
30095,10,2.5,4.6,Intel UHD Graphics 730,
30096,6,2.8,4,Intel UHD Graphics 630,
30097,6,3.6,4.4,Radeon Vega 7,
30098,4,3.5,4.7,Intel UHD Graphics 730,
30099,4,4,4.4,Intel HD Graphics 4600,
30100,4,3.4,4,Intel HD Graphics 530,
30101,8,2.9,4.8,,
30102,12,2.1,4.9,Intel UHD Graphics 770,
30103,16,3.4,5.5,Intel UHD Graphics 770,
30104,4,3.6,3.9,,
30105,4,3.5,3.9,Intel HD Graphics 4600,
30106,6,4.1,4.8,Intel UHD Graphics 630,
30107,16,3.5,4.7,,
30108,4,3.6,4.2,Intel HD Graphics 630,
30109,6,3.6,4.6,Radeon Vega 7,
30110,10,3.6,5.2,Intel UHD Graphics 630,
30111,24,3.8,4.5,,
30112,6,2.6,4.4,Intel UHD Graphics 730,
30113,8,3.5,5.3,,
