model_no,type,psu,side_panel,external_volume,internal_35_bays
10001,ATX Mid Tower,ATX,Tinted Tempered Glass,48.6,2
10002,ATX Mid Tower,ATX,Tempered Glass,47,1
10003,ATX Mid Tower,ATX,Tempered Glass,66.9,2
10004,ATX Mid Tower,ATX,Tempered Glass,66.9,2
10005,ATX Mid Tower,ATX,Tempered Glass,54.2,2
10006,ATX Mid Tower,ATX,Tempered Glass,51.8,1
10007,MicroATX Mini Tower,ATX,Acrylic,33.6,1
10008,ATX Mid Tower,ATX,Tempered Glass,51.8,1
10009,ATX Mid Tower,ATX,Tempered Glass,,2
10010,MicroATX Mid Tower,ATX,Tempered Glass,36.1,2
10011,ATX Mid Tower,ATX,Tempered Glass,67.8,2
10012,ATX Mid Tower,ATX,Tempered Glass,45.1,2
10013,ATX Mid Tower,ATX,Tempered Glass,51.8,2
10014,ATX Mid Tower,ATX,Tempered Glass,51.8,1
10015,ATX Mid Tower,ATX,Tempered Glass,51.8,2
10016,ATX Mid Tower,ATX,Tempered Glass,60.8,6
10017,ATX Mid Tower,ATX,Tempered Glass,55.6,2
10018,MicroATX Mid Tower,ATX,Tempered Glass,38.3,2
10019,ATX Full Tower,ATX,Tempered Glass,98.9,8
10020,ATX Mid Tower,ATX,Tempered Glass,44.9,2
10021,Mini ITX Desktop,SFX,Mesh,11.4,0
10022,ATX Mid Tower,ATX,Tempered Glass,47,1
10023,MicroATX Mini Tower,ATX,Tempered Glass,,2
10024,ATX Mid Tower,ATX,Tempered Glass,51.8,1
10025,ATX Mid Tower,ATX,Tempered Glass,70.7,2
10026,ATX Mid Tower,ATX,Tempered Glass,67.8,2
10027,ATX Mid Tower,ATX,Tempered Glass,54.2,2
10028,ATX Mid Tower,ATX,Tempered Glass,49.5,2
10029,ATX Mid Tower,ATX,Tempered Glass,46.2,2
10030,ATX Mid Tower,ATX,Tempered Glass,66.2,2
10031,ATX Mid Tower,ATX,Tempered Glass,55.8,2
10032,ATX Mid Tower,ATX,Tempered Glass,63,5
10033,MicroATX Mini Tower,ATX,Mesh,33,3
10034,Mini ITX Desktop,SFX,,,2
10035,ATX Mid Tower,ATX,Tinted Tempered Glass,48.6,2
10036,ATX Mid Tower,ATX,Tempered Glass,65.3,4
10037,MicroATX Mid Tower,ATX,Tempered Glass,36.5,2
10038,ATX Mid Tower,ATX,Tempered Glass,48.6,2
10039,ATX Mid Tower,ATX,Tempered Glass,43,2
10040,ATX Full Tower,ATX,Tinted Tempered Glass,61.4,2
10041,ATX Mid Tower,ATX,Tempered Glass,63,5
10042,ATX Mid Tower,ATX,Tempered Glass,70.7,2
10043,MicroATX Mini Tower,ATX,Tempered Glass,31.5,2
10044,ATX Mid Tower,ATX,Tempered Glass,42.3,2
10045,ATX Mid Tower,ATX,Tempered Glass,54.2,2
10046,ATX Mid Tower,ATX,Tinted Tempered Glass,60.8,6
10047,Mini ITX Desktop,SFX,Tempered Glass,19.1,1
10048,ATX Full Tower,ATX,Tempered Glass,84.4,4
10049,Mini ITX Desktop,SFX,Mesh,11.4,0
10050,ATX Mid Tower,ATX,Tinted Tempered Glass,40.6,2
10051,ATX Mid Tower,ATX,Tempered Glass,47,1
10052,MicroATX Mid Tower,ATX,Tempered Glass,36.5,2
10053,ATX Mid Tower,ATX,Tempered Glass,,2
10054,ATX Mid Tower,ATX,Tempered Glass,60.2,3
10055,ATX Mid Tower,ATX,Tempered Glass,70.7,2
10056,ATX Mid Tower,ATX,Tempered Glass,45.3,2
10057,ATX Mid Tower,ATX,Tempered Glass,46.2,2
10058,ATX Full Tower,ATX,Tempered Glass,81.8,6
10059,MicroATX Mini Tower,ATX,Tinted Tempered Glass,38.7,2
10060,ATX Mid Tower,ATX,Tempered Glass,66.9,2
10061,Mini ITX Desktop,SFX,Mesh,11.1,0
10062,ATX Mid Tower,ATX,Tempered Glass,66.9,2
10063,ATX Full Tower,ATX,Tempered Glass,62.4,3
10064,MicroATX Mid Tower,ATX,Tempered Glass,36.1,2
