model_no,chipset,memory,memory_type,core_clock,boost_clock
40001,GeForce RTX 3060 12GB,12,,1320,1777
40002,GeForce RTX 4070,12,,1920,2490
40003,GeForce RTX 4090,24,,2235,2640
40004,GeForce RTX 4070 Ti SUPER,16,,2340,2625
40005,GeForce RTX 4060,8,,1830,2535
40006,Radeon RX 7800 XT,16,,1295,2565
40007,GeForce RTX 4070 SUPER,12,,1980,2505
40008,Radeon RX 6600,8,,1626,
40009,RTX 6000 Ada Generation,48,,915,2505
40010,Radeon RX 6700 XT,12,,2321,2581
40011,GeForce RTX 4090,24,,2230,2520
40012,GeForce RTX 4060 Ti,8,,2310,
40013,Radeon RX 6650 XT,8,,2055,2635
40014,GeForce RTX 4090,24,,2235,2640
40015,GeForce RTX 4060,8,,1830,
40016,GeForce RTX 4080 SUPER,16,,2210,2580
40017,Radeon RX 6600,8,,1626,2491
40018,Radeon RX 7700 XT,12,,1700,2599
40019,Radeon RX 7900 XTX,24,,2300,2615
40020,Radeon RX 6800,16,,1700,2105
40021,GeForce RTX 4070 SUPER,12,,1980,2550
40022,GeForce RTX 4060,8,,1830,2505
40023,Radeon RX 580,8,,1366,1386
40024,GeForce RTX 4060,8,,1830,
40025,Radeon RX 7900 XT,20,,2000,2450
40026,GeForce RTX 4070 Ti SUPER,16,,2340,2670
40027,GeForce RTX 4070,12,,2520,2550
40028,GeForce RTX 3060 12GB,12,,1320,1807
40029,Radeon RX 7700 XT,12,,1700,2584
40030,GeForce RTX 4090,24,,2670,2700
40031,GeForce RTX 4070,12,,2520,2550
40032,GeForce RTX 4080 SUPER,16,,2210,2550
40033,Radeon RX 6750 XT,12,,2150,2600
40034,GeForce RTX 4060 Ti,8,,2310,2595
40035,GeForce RTX 4080 SUPER,16,,2210,2595
40036,GeForce RTX 4070 Ti SUPER,16,,2340,2625
40037,Radeon RX 7800 XT,16,,1295,
40038,Radeon RX 7900 GRE,16,,1270,2391
40039,GeForce RTX 4070 SUPER,12,,1980,2565
40040,Radeon RX 7600 XT,16,,1720,
40041,GeForce RTX 4090,24,,2235,2595
40042,Radeon RX 7900 XTX,24,,2300,2680
40043,GeForce RTX 3060 Ti,8,,1410,1670
40044,Radeon RX 7800 XT,16,,1295,2475
40045,Radeon RX 7900 XTX,24,,2300,2525
40046,GeForce RTX 4080 SUPER,16,,2210,2550
40047,Radeon RX 7700 XT,12,,1700,2544
40048,GeForce RTX 4080 SUPER,16,,2210,2640
40049,Radeon RX 7800 XT,16,,1295,2475
40050,GeForce RTX 4090,24,,2235,
40051,Radeon RX 7900 GRE,16,,1270,2290
40052,Radeon RX 6600,8,,1626,2491
40053,GeForce RTX 4070,12,,1920,2480
40054,GeForce RTX 4080 SUPER,16,,2210,2670
40055,GeForce RTX 4070 Ti SUPER,16,,2340,2610
40056,GeForce RTX 4080 SUPER,16,,2210,2640
40057,GeForce RTX 4060 Ti,16,,2310,2625
40058,GeForce RTX 4070 SUPER,12,,1980,2480
40059,Radeon RX 6600,8,,1626,2491
40060,GeForce RTX 3050 6GB,6,,1040,1492
40061,GeForce RTX 4070 Ti SUPER,16,,2340,2640
40062,GeForce RTX 4080 SUPER,16,,2210,2565
40063,GeForce RTX 4070 SUPER,12,,1980,2475
40064,Radeon RX 7600,8,,1720,2755
40065,GeForce RTX 3060 12GB,12,,1320,1867
40066,GeForce RTX 4080 SUPER,16,,2210,2670
40067,GeForce RTX 4080 SUPER,16,,2210,2550
40068,GeForce RTX 3070 LHR,8,,1500,1815
40069,Radeon RX 7900 GRE,16,,1270,2395
40070,GeForce RTX 4070 Ti,12,,2310,2625
40071,GeForce RTX 4080 SUPER,16,,2210,2565
40072,Radeon RX 6800,16,,1700,2105
40073,Radeon RX 7900 XTX,24,,2300,2525
40074,Radeon RX 7900 XT,20,,2000,2450
40075,Radeon RX 7700 XT,12,,1700,2584
40076,Radeon RX 7800 XT,16,,1295,2430
40077,GeForce RTX 4070 Ti SUPER,16,,2340,2685
40078,Radeon RX 7900 XT,20,,2000,2450
40079,GeForce RTX 4070 SUPER,12,,1980,2520
40080,GeForce RTX 4070,12,,2475,2505
40081,GeForce RTX 4090,24,,2235,
40082,GeForce RTX 4070 Ti SUPER,16,,2340,2655
40083,Radeon RX 7800 XT,16,,1295,2520
40084,GeForce RTX 4060 Ti,16,,2310,2685
40085,GeForce RTX 4060,8,,1830,
40086,GeForce RTX 4070 Ti SUPER,16,,2340,2670
40087,Radeon RX 7600,8,,1875,2655
40088,GeForce RTX 4080 SUPER,16,,2210,2595
40089,GeForce RTX 4060 Ti,8,,2310,
40090,GeForce RTX 4090,24,,2520,2535
40091,GeForce RTX 4090,24,,2235,2550
40092,Radeon RX 6600 XT,8,,1968,
40093,Radeon RX 6700 XT,12,,2321,2581
40094,Radeon RX 7800 XT,16,,1295,
40095,GeForce RTX 4060,8,,1830,2505
40096,Radeon RX 7900 GRE,16,,1270,2333
40097,GeForce RTX 4070 SUPER,12,,1980,2565
40098,GeForce RTX 4070 SUPER,12,,1980,2550
40099,GeForce RTX 3080 10GB,10,,1440,1800
40100,GeForce RTX 4080 SUPER,16,,2210,2595
40101,GeForce GTX 1660 SUPER,6,,1530,1815
40102,Radeon RX 6600,8,,1626,2491
40103,GeForce RTX 4070,12,,1920,2625
40104,GeForce RTX 4070 SUPER,12,,1980,2490
40105,GeForce RTX 3050 8GB,8,,1550,1807
40106,GeForce RTX 4070 Ti SUPER,16,,2340,2625
40107,Radeon RX 6750 XT,12,,2150,2618
40108,GeForce RTX 4080,16,,2210,2510
40109,GeForce RTX 4060,8,,1830,2490
40110,GeForce RTX 3060 8GB,8,,1320,1807
40111,GeForce RTX 3050 6GB,6,,1040,1537
40112,Radeon RX 7900 XTX,24,,2300,2500
40113,Radeon RX 6600,8,,1626,2491
40114,GeForce RTX 3060 12GB,12,,1320,1837
40115,Radeon RX 5700 XT,8,,1650,1905
40116,Radeon RX 6750 XT,12,,2150,2600
40117,Radeon RX 7900 XT,20,,2000,2535
40118,GeForce RTX 4060,8,,1830,
40119,GeForce RTX 4070 SUPER,12,,1980,2655
40120,GeForce RTX 2060,6,,1365,1710
40121,Radeon RX 7900 XTX,24,,2300,2680
40122,GeForce RTX 4060 Ti,8,,2310,2540
40123,GeForce RTX 4090,24,,2235,2520
40124,GeForce RTX 4070,12,,2550,2580
40125,GeForce RTX 3080 Ti,12,,1370,1670
40126,Radeon RX 7800 XT,16,,1295,2565
40127,GeForce RTX 3060 Ti,8,,1410,1770
40128,GeForce RTX 4060 Ti,16,,2310,2595
40129,GeForce RTX 4070 Ti SUPER,16,,2340,2640
40130,GeForce RTX 4070 Ti,12,,2310,2760
40131,Arc A580,8,,1700,2000
40132,GeForce GTX 1650 G6,4,,1410,1665
40133,Radeon RX 7600 XT,16,,1720,2801
40134,GeForce RTX 4070,12,,1920,2520
40135,Radeon RX 7900 XTX,24,,2300,2525
40136,Arc A770,16,,2200,2400
40137,Radeon RX 7900 XT,20,,2000,2560
40138,Radeon RX 7900 XTX,24,,2300,2615
40139,GeForce RTX 4060 Ti,16,,2310,2565
40140,GeForce RTX 4080 SUPER,16,,2210,2625
40141,Radeon RX 7600 XT,16,,1720,2810
40142,Arc A750,8,,2050,
40143,GeForce RTX 4060,8,,1830,2475
40144,GeForce RTX 3070,8,,1500,1730
40145,RTX A6000,48,,1455,1860
40146,Radeon RX 7900 GRE,16,,1270,2293
40147,GeForce RTX 3060 12GB,12,,1320,1792
40148,GeForce RTX 4090,24,,2235,2535
40149,Radeon RX 7900 GRE,16,,1270,2391
40150,GeForce RTX 4090,24,,2235,
40151,Radeon RX 7800 XT,16,,1295,2565
40152,GeForce GTX 1070,8,,1506,1683
40153,GeForce RTX 4070 SUPER,12,,1980,2520
40154,GeForce RTX 4060,8,,1830,2535
40155,Radeon RX 6600,8,,1626,2491
40156,Radeon RX 6500 XT,4,,2365,2820
40157,Radeon RX 550 - 512,4,,1100,1206
40158,GeForce GT 710,2,,954,954
40159,GeForce RTX 4070 Ti SUPER,16,,2340,2700
40160,GeForce RTX 4070 SUPER,12,,1980,2535
40161,Radeon RX 7600 XT,16,,1720,2755
40162,Radeon RX 7600 XT,16,,1720,2755
40163,GeForce GTX 1650 G6,4,,1410,1620
40164,GeForce RTX 4060,8,,1830,2610
40165,GeForce RTX 4060 Ti,8,,2310,
40166,GeForce RTX 4070 Ti SUPER,16,,2340,2655
40167,Radeon RX 7800 XT,16,,1295,2520
40168,GeForce RTX 4070 Ti,12,,2310,2655
40169,Radeon RX 7800 XT,16,,1295,2520
40170,GeForce RTX 4090,24,,2235,
40171,GeForce RTX 3070 Ti,8,,1575,1860
40172,GeForce RTX 4080 SUPER,16,,2210,2655
40173,GeForce RTX 3080 10GB,10,,1440,
40174,GeForce RTX 4080 SUPER,16,,2210,2625
40175,Radeon RX 7900 GRE,16,,1270,2366
40176,GeForce RTX 4090,24,,2235,2610
40177,GeForce GT 710,2,,954,
40178,GeForce RTX 3060 12GB,12,,1320,1777
40179,GeForce RTX 4070 Ti SUPER,16,,2340,2670
40180,GeForce RTX 4090,24,,2235,
40181,Radeon RX 7600,8,,1720,2755
40182,Radeon RX 7900 XT,20,,2000,2500
40183,Radeon RX 7900 XTX,24,,2300,2615
40184,GeForce RTX 4060 Ti,8,,2310,2595
40185,GeForce RTX 3090 Ti,24,,1560,1860
40186,GeForce RTX 4080 SUPER,16,,2210,2625
40187,GeForce RTX 4070 SUPER,12,,1980,2520
40188,Arc A770,16,,2100,2150
40189,GeForce RTX 3080 10GB,10,,1440,1710
40190,GeForce RTX 4090,24,,2235,2595
40191,GeForce RTX 4070 Ti SUPER,16,,2340,2655
40192,Radeon RX 6800 XT,16,,1825,2250
40193,Arc A380,6,,2250,
40194,Radeon RX 7600,8,,1720,2725
40195,GeForce RTX 4060,8,,1830,2475
40196,Radeon RX 7900 GRE,16,,1270,2293
40197,GeForce RTX 4070 SUPER,12,,1980,2490
40198,GeForce RTX 4060 Ti,8,,2310,
40199,GeForce RTX 4060,8,,1830,2460
40200,GeForce RTX 4060,8,,1830,2460
40201,Radeon RX 7900 XT,20,,2000,2535
40202,Radeon RX 7600 XT,16,,1720,2810
40203,GeForce RTX 4070 Ti,12,,2310,2625
40204,GeForce RTX 4070 SUPER,12,,1980,2595
40205,GeForce RTX 4070,12,,1920,2565
40206,GeForce GTX 1660 SUPER,6,,1530,1845
40207,Radeon RX 7900 XTX,24,,2300,2680
40208,GeForce GT 730,2,,902,927
40209,Radeon RX 7700 XT,12,,1700,2599
40210,Radeon RX 6950 XT,16,,1890,2310
40211,GeForce RTX 2070 SUPER,8,,1605,1785
40212,GeForce RTX 3090,24,,1395,1800
40213,Radeon RX 6750 XT,12,,2150,2600
40214,Radeon RX 7800 XT,16,,1295,2520
40215,GeForce RTX 3070,8,,1500,1845
40216,GeForce RTX 4060 Ti,16,,2310,2625
40217,GeForce GTX 1050 Ti,4,,1341,1455
40218,GeForce GTX 1080 Ti,11,,1493,1632
40219,Radeon RX 7800 XT,16,,1295,2565
40220,Radeon RX 7900 GRE,16,,1270,2333
40221,Radeon RX 7600 XT,16,,1720,2830
40222,GeForce RTX 4090,24,,2235,2565
40223,GeForce RTX 4060 Ti,16,,2310,2580
40224,GeForce RTX 4080 SUPER,16,,2210,2625
40225,GeForce GTX 1060 6GB,6,,1544,1759
40226,GeForce RTX 4070,12,,1920,2520
40227,Radeon RX 7600,8,,1720,2715
40228,GeForce RTX 3070,8,,1500,1815
40229,GeForce RTX 4070 SUPER,12,,1980,2550
40230,GeForce RTX 3060 Ti LHR,8,,1410,1695
40231,Radeon RX 7900 XTX,24,,2300,2565
40232,Radeon RX 580,8,,1257,1370
40233,GeForce RTX 4060 Ti,16,,2310,2535
40234,GeForce RTX 3070,8,,1500,1755
