model_no,type,speed,kit_size,size_per_stick,first_word_latency,cas_latency
50001,,3200,2,8,10,16
50002,,5600,2,16,12.857,36
50003,,6000,2,16,12,36
50004,,6000,2,16,10,30
50005,,3600,2,16,10,18
50006,,6400,2,32,10,32
50007,,3600,2,16,10,18
50008,,6000,2,16,12,36
50009,,6000,2,16,10,30
50010,,6000,2,16,10,30
50011,,3200,2,8,10,16
50012,,5200,2,8,15.385,40
50013,,6000,2,16,12,36
50014,,6000,2,16,10,30
50015,,3200,2,8,10,16
50016,,5200,2,32,15.385,40
50017,,4800,2,8,7.083,17
50018,,6000,2,16,10,30
50019,,6000,2,16,10,30
50020,,3200,2,8,10,16
50021,,3200,2,8,10,16
50022,,6000,2,16,13.333,40
50023,,6000,2,16,12,36
50024,,3600,2,8,10,18
50025,,3200,2,16,10,16
50026,,6600,2,32,9.697,32
50027,,6000,2,16,10.667,32
50028,,3200,2,16,10,16
50029,,5200,2,16,15.385,40
50030,,6000,2,16,10,30
50031,,6000,2,32,10,30
50032,,3600,2,16,10,18
50033,,3600,2,16,10,18
50034,,6000,2,8,12,36
50035,,3200,2,16,10,16
50036,,6000,2,16,10,30
50037,,3200,2,16,10,16
50038,,6000,2,32,10,30
50039,,6000,2,16,10,30
50040,,3200,2,8,10,16
50041,,7200,2,16,9.444,34
50042,,3200,2,32,10,16
50043,,3600,2,16,10,18
50044,,6000,2,16,12,36
50045,,3200,2,8,10,16
50046,,6400,2,16,10,32
50047,,6600,2,32,9.697,32
50048,,5600,4,32,14.286,40
50049,,3200,2,16,10,16
50050,,6400,2,16,10,32
50051,,6400,2,32,10,32
50052,,6000,2,16,12,36
50053,,3600,2,8,10,18
50054,,6000,2,16,10,30
50055,,3600,2,8,8.889,16
50056,,8400,2,24,9.524,40
50057,,5200,2,16,15.385,40
50058,,3600,2,8,10,18
50059,,6000,2,32,10,30
50060,,6000,2,32,10,30
50061,,3200,2,8,13.75,22
50062,,6000,2,8,13.333,40
50063,,5600,2,16,16.429,46
50064,,5600,2,16,16.429,46
50065,,3600,2,16,8.889,16
50066,,6000,2,16,12,36
50067,,6000,2,16,13.333,40
50068,,6000,2,16,10,30
50069,,6000,2,16,12,36
50070,,3200,2,16,13.75,22
50071,,3600,2,8,10,18
50072,,3200,2,16,10,16
50073,,3600,2,16,10,18
50074,,6200,2,16,11.613,36
50075,,4800,2,8,16.667,40
50076,,6400,2,16,10,32
50077,,6000,2,16,12,36
50078,,6000,2,16,12,36
50079,,6000,2,32,10,30
50080,,5600,2,32,16.429,46
50081,,5200,4,48,14.615,38
50082,,6400,2,16,10,32
50083,,6000,2,16,12.667,38
50084,,6000,2,16,10,30
50085,,6000,2,16,10.667,32
50086,,6000,2,16,10,30
50087,,5200,2,8,13.846,36
50088,,6000,2,32,10,30
50089,,3600,2,8,10,18
50090,,3000,8,32,10.667,16
50091,,6400,2,16,10,32
