model_no,socket,RAM_slots,storage_slots,has_wifi
70001,AM5,4,,true
70002,AM5,4,,true
70003,LGA1700,4,,true
70004,LGA1700,4,,true
70005,AM4,4,,false
70006,AM4,2,,false
70007,AM5,4,,true
70008,AM5,4,,false
70009,AM4,4,,true
70010,AM5,4,,true
70011,LGA1700,4,,false
70012,AM5,4,,false
70013,LGA1700,4,,true
70014,AM5,4,,true
70015,LGA1700,4,,true
70016,AM4,4,,true
70017,AM4,4,,true
70018,AM5,4,,true
70019,AM5,2,,true
70020,AM4,4,,true
70021,AM5,4,,true
70022,AM5,4,,false
70023,AM5,4,,true
70024,AM5,4,,false
70025,LGA1700,4,,false
70026,AM4,4,,false
70027,AM5,4,,false
70028,LGA1700,4,,false
70029,AM4,4,,false
70030,LGA1700,4,,true
70031,sTRX4,8,,false
70032,AM5,4,,false
70033,LGA1700,4,,true
70034,LGA1700,4,,false
70035,AM4,2,,false
70036,AM4,4,,true
70037,LGA1700,4,,true
70038,AM5,4,,true
70039,AM4,4,,false
70040,AM5,2,,true
70041,LGA1700,4,,true
70042,AM4,4,,false
70043,AM5,2,,false
70044,LGA1700,2,,false
70045,AM5,4,,false
70046,LGA1700,4,,true
70047,LGA1700,2,,true
70048,AM4,4,,false
70049,AM4,2,,false
70050,AM4,4,,false
70051,AM4,4,,false
70052,LGA1700,2,,false
70053,LGA1700,4,,false
70054,AM4,4,,true
70055,AM5,4,,false
70056,AM5,4,,true
70057,AM4,4,,false
70058,AM4,4,,true
70059,AM5,4,,false
70060,AM5,4,,true
70061,LGA1700,4,,false
70062,AM5,4,,false
70063,LGA1700,2,,false
70064,AM4,4,,false
70065,AM4,4,,false
70066,AM4,4,,false
70067,AM5,2,,true
70068,AM5,4,,false
70069,AM4,4,,true
70070,AM4,4,,false
70071,LGA1700,2,,false
70072,AM5,4,,true
70073,AM5,2,,false
70074,AM5,2,,true
70075,AM5,2,,false
70076,AM4,4,,false
70077,AM5,4,,true
70078,AM5,2,,false
70079,LGA1700,2,,true
70080,AM4,2,,false
70081,LGA1700,4,,false
70082,AM4,4,,false
70083,LGA1700,4,,false
70084,AM5,4,,false
70085,AM4,2,,false
70086,AM4,4,,false
70087,AM4,2,,false
70088,AM5,4,,true
70089,AM5,2,,false
70090,LGA1700,4,,true
70091,AM5,4,,true
70092,LGA1700,4,,false
70093,AM5,4,,false
70094,LGA1700,4,,true
70095,LGA1700,4,,true
70096,LGA1200,2,,false
70097,LGA1700,4,,true
70098,sTRX4,8,,false
70099,AM5,4,,false
70100,AM4,2,,false
70101,AM5,4,,false
70102,LGA1700,4,,false
70103,AM4,4,,false
70104,LGA1700,4,,true
70105,LGA1700,4,,true
70106,AM5,4,,false
70107,AM5,4,,true
70108,AM4,4,,false
70109,AM5,4,,false
70110,AM5,4,,true
