model_no,type,efficiency,wattage,modular
80001,ATX,gold,750,Full
80002,ATX,gold,850,Full
80003,ATX,gold,1000,Full
80004,ATX,gold,650,Full
80005,ATX,bronze,650,FALSE
80006,ATX,gold,850,Full
80007,ATX,bronze,650,Semi
80008,ATX,bronze,550,FALSE
80009,SFX,platinum,750,Full
80010,ATX,gold,850,Full
80011,ATX,gold,850,Full
80012,ATX,plus,500,FALSE
80013,ATX,gold,850,Full
80014,ATX,gold,1000,Full
80015,ATX,titanium,1600,Full
80016,ATX,plus,600,FALSE
80017,ATX,gold,750,Full
80018,ATX,gold,650,Full
80019,SFX,gold,850,Full
80020,ATX,gold,750,Full
80021,ATX,gold,650,Semi
80022,ATX,platinum,1500,Full
80023,ATX,gold,650,Full
80024,ATX,gold,750,Full
80025,ATX,gold,750,Full
80026,ATX,gold,850,Full
80027,ATX,gold,750,Full
80028,ATX,gold,750,Full
80029,ATX,bronze,750,Semi
80030,ATX,gold,850,Full
80031,ATX,gold,1000,Full
80032,SFX,gold,1000,Full
80033,ATX,bronze,750,FALSE
80034,ATX,,2050,Full
80035,ATX,bronze,650,FALSE
80036,ATX,titanium,1600,Full
80037,ATX,gold,600,FALSE
80038,ATX,titanium,1000,Full
80039,ATX,bronze,650,FALSE
80040,ATX,bronze,650,Full
80041,ATX,gold,600,FALSE
80042,ATX,gold,1200,Full
80043,SFX,gold,750,Full
80044,ATX,gold,1000,Full
80045,ATX,bronze,500,FALSE
80046,ATX,gold,850,Full
80047,ATX,bronze,550,FALSE
80048,ATX,gold,850,Full
80049,ATX,gold,850,Full
80050,ATX,titanium,1600,Full
80051,ATX,plus,700,FALSE
80052,ATX,titanium,1600,Full
80053,ATX,gold,850,Full
80054,ATX,platinum,1000,Full
80055,ATX,gold,1000,Full
80056,ATX,platinum,1200,Full
80057,ATX,gold,850,Full
80058,SFX,gold,650,Full
80059,ATX,gold,750,Full
80060,ATX,gold,850,Full
80061,ATX,gold,850,Full
80062,ATX,platinum,1200,Full
80063,ATX,gold,750,Full
80064,ATX,bronze,550,FALSE
80065,ATX,gold,850,Full
80066,ATX,gold,750,Full
80067,SFX,gold,750,Full
80068,ATX,gold,400,FALSE
80069,ATX,gold,1000,Full
80070,ATX,gold,750,Full
80071,ATX,gold,1200,Full
80072,SFX,gold,850,Full
80073,ATX,gold,750,FALSE
80074,ATX,gold,850,Full
80075,ATX,titanium,1600,Full
80076,ATX,gold,650,Full
80077,ATX,gold,750,Full
80078,SFX,gold,750,Full
80079,ATX,bronze,650,FALSE
80080,ATX,gold,650,Full
80081,ATX,gold,850,Full
80082,ATX,plus,500,FALSE
80083,SFX,gold,850,Full
80084,ATX,gold,850,Full
80085,ATX,platinum,1000,Full
80086,ATX,titanium,850,Full
80087,ATX,gold,650,Full
80088,ATX,platinum,1300,Full
80089,ATX,,550,FALSE
80090,ATX,gold,750,Full
80091,ATX,gold,1000,Full
80092,ATX,bronze,450,FALSE
80093,ATX,platinum,750,Full
80094,ATX,bronze,600,FALSE
80095,ATX,gold,1200,Full
80096,ATX,gold,1000,Full
80097,ATX,bronze,500,FALSE
80098,ATX,bronze,650,FALSE
80099,ATX,titanium,1000,Full
80100,ATX,gold,1000,Full
80101,ATX,gold,1000,Full
80102,ATX,gold,1200,Full
80103,ATX,platinum,1200,Full
80104,ATX,platinum,1000,Full
80105,ATX,gold,750,Full
80106,ATX,gold,850,Full
80107,ATX,gold,800,FALSE
80108,ATX,gold,750,Full
80109,ATX,gold,750,Full
80110,ATX,gold,750,Full
80111,ATX,gold,600,FALSE
80112,ATX,gold,850,Semi
80113,SFX,gold,850,Full
80114,ATX,bronze,750,FALSE
80115,ATX,,480,FALSE
80116,ATX,platinum,850,Full
80117,ATX,gold,1050,Full
80118,ATX,bronze,850,Semi
80119,ATX,gold,700,FALSE
80120,ATX,gold,1000,Full
80121,ATX,gold,750,Full
80122,SFX,gold,750,Full
80123,ATX,gold,1200,Full / Side
80124,ATX,gold,1000,Full
80125,SFX,gold,850,Full
80126,ATX,gold,1000,Full
80127,ATX,gold,1000,Full / Side
80128,ATX,gold,1650,Full
80129,ATX,gold,1000,Full
80130,ATX,platinum,850,Full
80131,ATX,,400,FALSE
80132,ATX,gold,850,Full
80133,ATX,gold,850,Full / Side
80134,ATX,gold,850,Full
80135,ATX,platinum,850,Full
80136,ATX,gold,1000,Full
80137,ATX,titanium,1300,Full
80138,ATX,gold,550,Semi
80139,ATX,gold,850,FALSE
80140,ATX,platinum,850,Full
80141,ATX,platinum,1000,Full
80142,ATX,gold,1000,Full / Side
80143,ATX,gold,1200,Full
80144,ATX,gold,850,Full
80145,ATX,gold,650,Semi
80146,SFX,platinum,1100,Full
80147,ATX,bronze,450,FALSE
80148,ATX,gold,750,Full
80149,ATX,gold,650,Full
80150,ATX,platinum,750,Full
80151,ATX,gold,750,Full / Side
80152,ATX,gold,1000,Full
80153,ATX,bronze,700,FALSE
80154,ATX,platinum,2000,Full
80155,SFX,platinum,1000,Full
80156,ATX,bronze,650,FALSE
80157,ATX,,500,FALSE
80158,ATX,bronze,850,Full
80159,ATX,gold,850,Full
80160,SFX,gold,850,Full
80161,ATX,bronze,750,Semi
80162,TFX,,300,FALSE
80163,ATX,gold,1200,Full
80164,ATX,gold,1000,Full
80165,SFX,gold,850,Full
80166,ATX,bronze,750,FALSE
80167,ATX,bronze,650,FALSE
80168,ATX,gold,850,Full
80169,SFX,gold,600,Full
80170,ATX,gold,850,Full
80171,ATX,bronze,500,FALSE
80172,ATX,titanium,1600,Full
80173,ATX,bronze,550,FALSE
80174,ATX,bronze,450,FALSE
80175,ATX,gold,750,Full
80176,ATX,bronze,550,FALSE
80177,ATX,gold,750,Full
80178,SFX,gold,550,Full
80179,ATX,gold,700,FALSE
80180,ATX,gold,750,Full
80181,ATX,titanium,1300,Full
80182,SFX,platinum,600,Full
80183,ATX,gold,850,Full
80184,ATX,,750,FALSE
80185,ATX,gold,1000,Full
80186,ATX,gold,650,Semi
80187,ATX,gold,750,Full
80188,ATX,bronze,650,FALSE
80189,ATX,titanium,1000,Full
80190,ATX,gold,850,Full
80191,ATX,gold,750,Full
80192,SFX,gold,500,Full
80193,ATX,gold,1200,Full / Side
80194,ATX,plus,600,FALSE
80195,ATX,gold,1000,Full
80196,ATX,bronze,850,Semi
