model_no,name,manufacture,retail_price,stock_qtty,tdp
10001,Corsair 4000D Airflow,Corsair,104.99,7,0
10002,NZXT H5 Flow,NZXT,94.99,34,0
10003,NZXT H9 Flow,NZXT,159.99,29,0
10004,NZXT H9 Flow,NZXT,154.99,12,0
10005,Montech AIR 903 MAX,Montech,75,21,0
10006,NZXT H6 Flow,NZXT,109.99,26,0
10007,Cooler Master MasterBox Q300L,Cooler,46.98,35,0
10008,NZXT H6 Flow,NZXT,101.29,4,0
10009,Montech X3 Mesh,Montech,64.98,19,0
10010,Montech AIR 100 ARGB,Montech,100,8,0
10011,Lian Li O11 Vision,Lian,138.94,19,0
10012,Fractal Design North,Fractal,139.99,11,0
10013,Phanteks XT PRO,Phanteks,49.99,34,0
10014,NZXT H6 Flow RGB,NZXT,132.99,9,0
10015,Phanteks XT PRO ULTRA,Phanteks,69.99,11,0
10016,Lian Li O11 Dynamic EVO,Lian,249.22,9,0
10017,Lian Li LANCOOL 216,Lian,99.99,32,0
10018,Deepcool CH370,Deepcool,59.41,10,0
10019,Silverstone ALTA F2,Silverstone,999.99,2,0
10020,Deepcool CC560 V2,Deepcool,59.99,19,0
10021,Fractal Design Terra,Fractal,179.97,7,0
10022,NZXT H5 Flow,NZXT,93.99,4,0
10023,Deepcool MATREXX 40,Deepcool,46.98,33,0
10024,NZXT H6 Flow RGB,NZXT,134.99,14,0
10025,HYTE Y70 Touch,HYTE,359.99,25,0
10026,Lian Li O11 Vision,Lian,129.99,23,0
10027,Montech AIR 903 BASE,Montech,65,23,0
10028,Corsair 3000D AIRFLOW,Corsair,74.98,10,0
10029,Fractal Design Pop Air RGB,Fractal,89.99,26,0
10030,Corsair 5000D AIRFLOW,Corsair,159.99,22,0
10031,NZXT H7 Flow,NZXT,129.99,11,0
10032,Montech KING 95 PRO,Montech,149,38,0
10033,Asus Prime AP201,Asus,79.99,36,0
10034,Cooler Master MasterBox NR200,Cooler,114.99,12,0
10035,Corsair 4000D Airflow,Corsair,104.99,19,0
10036,Lian Li O11D EVO RGB,Lian,159.99,11,0
10037,Fractal Design Pop Mini Air,Fractal,89.97,33,0
10038,Corsair iCUE 4000X RGB,Corsair,119.99,30,0
10039,Lian Li O11 Dynamic Mini Snow Edition,Lian,119.99,34,0
10040,Fractal Design North XL,Fractal,179.99,23,0
10041,Montech KING 95 PRO,Montech,159,8,0
10042,HYTE Y70 Touch,HYTE,359.99,0,0
10043,SAMA ARGB-Q5,SAMA,53.84,13,0
10044,Phanteks Eclipse G360A,Phanteks,69.99,32,0
10045,Montech AIR 903 MAX,Montech,69,11,0
10046,Lian Li O11 Dynamic EVO,Lian,100,13,0
10047,Deepcool CH160,Deepcool,100,3,0
10048,Lian Li O11 Dynamic EVO XL,Lian,231.99,26,0
10049,Fractal Design Terra,Fractal,179.99,15,0
10050,Fractal Design Meshify C,Fractal,99.99,18,0
10051,NZXT H5 Flow RGB,NZXT,99.99,15,0
10052,Fractal Design Pop Mini Air,Fractal,69.98,32,0
10053,HYTE Y60,HYTE,179.99,20,0
10054,Phanteks NV5,Phanteks,99.99,12,0
10055,HYTE Y70,HYTE,219.99,28,0
10056,Montech SKY TWO,Montech,89,36,0
10057,Fractal Design Pop Air,Fractal,79.97,10,0
10058,Corsair 7000D AIRFLOW,Corsair,189.99,37,0
10059,Deepcool CC360 ARGB,Deepcool,59.99,16,0
10060,NZXT H9 Elite,NZXT,229.99,6,0
10061,Lian Li A4-H20 X4,Lian,154.99,10,0
10062,NZXT H9 Elite,NZXT,222.99,36,0
10063,Fractal Design Pop XL Air,Fractal,109.97,37,0
10064,Montech AIR 100 ARGB,Montech,66.98,22,0
10065,Cooler Master MasterBox NR200P,Cooler,100,8,0
10066,HYTE Y60 Snow White,HYTE,179.99,20,0
10067,Lian Li O11 Dynamic Mini,Lian,112.51,18,0
10068,DIYPC MA08,DIYPC,35.96,13,0
10069,Lian Li PC-O11 Dynamic,Lian,119.99,22,0
10070,Zalman S2,Zalman,52.99,19,0
10071,Fractal Design North,Fractal,139.99,20,0
10072,Lian Li O11 Dynamic EVO XL,Lian,229.99,10,0
10073,be quiet! Pure Base 500DX,be,79.9,9,0
10074,Lian Li LANCOOL 216,Lian,94,37,0
10075,Zalman P30,Zalman,99.99,39,0
10076,BitFenix Nova Mesh M ARGB,BitFenix,57.9,7,0
10077,Asus Prime AP201,Asus,84.99,5,0
10078,Lian Li O11D EVO RGB,Lian,159.99,15,0
10079,Cooler Master MasterBox NR200P V2,Cooler,119.99,29,0
10080,Asus Prime AP201,Asus,69.98,11,0
10081,Montech AIR 903 BASE,Montech,57,34,0
10082,Fractal Design Ridge PCIe 4.0,Fractal,129.99,17,0
10083,Corsair iCUE 4000D RGB AIRFLOW,Corsair,149.99,38,0
10084,Fractal Design Terra,Fractal,179.99,18,0
10085,NZXT H5 Flow RGB,NZXT,99.99,28,0
10086,Fractal Design Core 1000 USB 3.0,Fractal,37.98,28,0
10087,SAMA IM01,SAMA,55.9,8,0
10088,Cooler Master Cosmos Infinity 30th Anniversary,Cooler,100,22,0
10089,NZXT H510,NZXT,98.98,9,0
10090,Deepcool MACUBE 110,Deepcool,60.69,38,0
10091,Lian Li O11 Air Mini,Lian,99.99,15,0
10092,HYTE Y70,HYTE,219.99,6,0
10093,Deepcool CH370,Deepcool,59.99,11,0
10094,Lian Li LANCOOL 216,Lian,94.49,7,0
10095,Asus ROG Strix Helios,Asus,304.99,16,0
10096,Deepcool MATREXX 40 3FS,Deepcool,100,13,0
10097,MSI MAG FORGE 112R,MSI,86,21,0
10098,Fractal Design North,Fractal,139.99,7,0
10099,NZXT H5 Elite,NZXT,104.95,5,0
10100,HYTE Y40,HYTE,99.99,2,0
10101,Cooler Master MasterBox Q300L,Cooler,46.98,25,0
10102,Lian Li LANCOOL 205M MESH,Lian,79.98,28,0
10103,Phanteks NV5,Phanteks,104.99,28,0
10104,Cooler Master Q300L V2,Cooler,59.98,28,0
10105,Corsair 2000D AIRFLOW,Corsair,99.99,25,0
10106,Enermax MarbleShell M MS20 ARGB,Enermax,100,38,0
10107,Fractal Design Torrent,Fractal,189.99,4,0
10108,Cougar MX330-X,Cougar,53.99,23,0
10109,Lian Li PC-O11 Dynamic,Lian,100,34,0
10110,Phanteks Enthoo Pro,Phanteks,99.99,22,0
10111,Fractal Design Focus 2,Fractal,69.99,10,0
10112,Antec NX100,Antec,40.22,35,0
10113,DIYPC F2,DIYPC,38.97,15,0
10114,NZXT H7 Flow,NZXT,96.99,34,0
10115,Corsair 3000D RGB AIRFLOW,Corsair,99.99,26,0
10116,Fractal Design Pop Air,Fractal,69.98,31,0
10117,SAMA Sama-S88-BK,SAMA,41.97,28,0
10118,Corsair Obsidian Series 1000D,Corsair,524.99,39,0
10119,Deepcool MATREXX 30,Deepcool,100,35,0
10120,NZXT H7 Flow,NZXT,89.99,24,0
10121,Cooler Master MasterBox NR200,Cooler,93.99,12,0
10122,MUSETEX K2,MUSETEX,109.99,11,0
10123,Fractal Design Ridge PCIe 4.0,Fractal,129.99,26,0
10124,Corsair iCUE 7000X RGB,Corsair,229.99,29,0
10125,MSI MPG GUNGNIR 110R,MSI,92.19,13,0
10126,Thermaltake The Tower 300,Thermaltake,139.99,37,0
10127,Cooler Master MasterBox TD500 Mesh V2,Cooler,113.98,27,0
10128,Montech X3 Mesh,Montech,63.9,7,0
10129,HYTE Y60,HYTE,174.99,20,0
10130,DIYPC ARGB-Q3,DIYPC,100,36,0
10131,Asus TUF Gaming GT502,Asus,149.99,3,0
10132,Deepcool CH160,Deepcool,100,13,0
10133,Lian Li LANCOOL 215,Lian,89.99,28,0
10134,Thermaltake Core V1,Thermaltake,49.99,5,0
10135,Corsair iCUE 5000D RGB AIRFLOW,Corsair,219.99,10,0
10136,Fractal Design Focus G,Fractal,59.98,3,0
10137,Antec NX200M,Antec,49.99,11,0
10138,Montech SKY TWO,Montech,92.99,7,0
10139,Corsair 6500X,Corsair,199.99,5,0
10140,Fractal Design Define R5,Fractal,124.99,20,0
10141,Lian Li A4-H20 A4,Lian,155.99,2,0
10142,Phanteks XT PRO ULTRA,Phanteks,69.99,18,0
10143,Fractal Design North XL,Fractal,179.99,10,0
10144,DIYPC ARGB-Q3,DIYPC,100,5,0
10145,NZXT H510,NZXT,99.98,26,0
10146,Fractal Design North,Fractal,139.99,12,0
10147,SAMA ARGB-Q5,SAMA,53.49,30,0
10148,MSI MAG FORGE 100R,MSI,93.83,20,0
10149,NZXT H5 Elite,NZXT,104.95,32,0
10150,MSI MAG PANO M100R PZ,MSI,89.99,23,0
10151,Aerocool CS-106,Aerocool,100,33,0
10152,Corsair iCUE 4000X RGB,Corsair,119.99,2,0
10153,Thermaltake Versa H18,Thermaltake,54.99,39,0
10154,Asus ProArt PA602,Asus,269.99,0,0
10155,Corsair 2500X,Corsair,159.99,29,0
10156,Montech KING 95,Montech,79.99,13,0
10157,Deepcool CH560,Deepcool,88.66,19,0
10158,NZXT H510i,NZXT,102.99,15,0
10159,Thermaltake S100,Thermaltake,70.03,20,0
10160,BitFenix Nova Mesh M ARGB,BitFenix,57.9,31,0
10161,Thermaltake Versa H17,Thermaltake,49.99,25,0
10162,GameMax G563,GameMax,51.99,17,0
10163,be quiet! Pure Base 500 FX,be,109.9,26,0
10164,Fractal Design Node 304,Fractal,87.98,25,0
10165,DIYPC DIY-S07,DIYPC,46.98,35,0
10166,Cooler Master MasterBox TD500 Mesh White w/ Controller,Cooler,84.99,34,0
10167,NZXT H7 Flow RGB,NZXT,134.99,21,0
10168,Asus Prime AP201,Asus,69.98,16,0
10169,Deepcool MACUBE 110,Deepcool,85.3,11,0
10170,Corsair 6500X,Corsair,199.99,15,0
10171,Fractal Design Meshify C,Fractal,99.97,19,0
10172,Fractal Design North XL,Fractal,179.99,3,0
10173,HYTE Y40,HYTE,101.99,5,0
10174,Lian Li LANCOOL III RGB,Lian,164.99,0,0
10175,Zalman P30,Zalman,100,28,0
10176,Fractal Design Node 804,Fractal,124.99,38,0
10177,Antec C8,Antec,109.99,39,0
10178,SAMA SAMA-Z4,SAMA,53.99,37,0
10179,Corsair iCUE 5000X RGB,Corsair,164.99,5,0
10180,HYTE Y70,HYTE,219.99,11,0
10181,Deepcool CH560 DIGITAL,Deepcool,109.99,2,0
10182,Fractal Design Pop XL Air,Fractal,89.99,39,0
10183,Lian Li O11 Vision Chrome,Lian,139.99,34,0
10184,Fractal Design Pop Mini Silent,Fractal,79.99,1,0
10185,Fractal Design Pop Air,Fractal,89.99,25,0
10186,be quiet! Shadow Base 800 FX,be,169.9,39,0
10187,Deepcool CK560,Deepcool,68.99,4,0
10188,Montech AIR 1000 PREMIUM,Montech,64.98,36,0
10189,DIYPC F2,DIYPC,39.97,1,0
10190,NZXT H7 Elite (2023),NZXT,99.99,21,0
10191,HYTE Y40,HYTE,99.99,24,0
10192,MUSETEX Y6,MUSETEX,104.99,10,0
10193,Fractal Design Meshify 2 XL,Fractal,199.99,36,0
10194,Zalman T6,Zalman,49.99,27,0
10195,Phanteks XT View,Phanteks,79.99,7,0
10196,Deepcool MATREXX 50 ADD-RGB 4F,Deepcool,73.26,4,0
10197,MSI MAG FORGE M100R,MSI,100,30,0
10198,Cooler Master MasterBox NR200P V2,Cooler,115.99,34,0
10199,Fractal Design Meshify C,Fractal,79.98,30,0
10200,Lian Li LANCOOL 205M MESH,Lian,89.99,18,0
10201,Antec NX410,Antec,66.99,19,0
10202,Apex DM-387,Apex,86.98,11,0
10203,be quiet! Pure Base 500,be,69.9,20,0
10204,Lian Li LANCOOL III,Lian,149.99,13,0
10205,Cooler Master N200,Cooler,59.99,29,0
10206,NZXT H510 Elite,NZXT,169.99,7,0
10207,Corsair iCUE 4000D RGB AIRFLOW,Corsair,149.99,25,0
10208,MSI MAG PANO M100R PZ,MSI,109,37,0
10209,Phanteks Eclipse G360A,Phanteks,100,38,0
10210,Antec C8,Antec,124.99,22,0
10211,Thermaltake The Tower 100,Thermaltake,89.99,24,0
10212,Lian Li LANCOOL 205 Mesh C,Lian,124.99,25,0
10213,Corsair 2500X,Corsair,159.99,10,0
10214,DIYPC ARGB Q10,DIYPC,74.98,18,0
10215,Fractal Design Torrent,Fractal,189.99,5,0
10216,Antec AX61 ELITE,Antec,59.99,4,0
10217,MSI MAG FORGE 320R AIRFLOW,MSI,100,30,0
10218,be quiet! Dark Base Pro 901,be,100,6,0
10219,Fractal Design Focus 2,Fractal,69.99,7,0
10220,Thermaltake The Tower 300,Thermaltake,149.99,17,0
10221,Phanteks Enthoo Elite,Phanteks,899.99,12,0
10222,HYTE Y70 Touch,HYTE,359.99,21,0
10223,Lian Li O11 Air Mini,Lian,109.99,25,0
10224,Lian Li PC-O11 Dynamic Razer,Lian,290.8,28,0
10225,Phanteks NV7,Phanteks,189.99,35,0
10226,Fractal Design Meshify 2,Fractal,159.99,4,0
10227,Fractal Design Define 7,Fractal,179.86,23,0
10228,GameMax Infinity,GameMax,61.91,9,0
