model_no,capacity,price_per_gb,type,cache,form_factor,interface
90001,2000,0.085,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
90002,1000,0.061,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90003,1000,0.098,SSD,1024,M.2-2280,M.2 PCIe 3.0 X4
90004,4000,0.08,SSD,4096,M.2-2280,M.2 PCIe 4.0 X4
90005,1000,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90006,1000,0.106,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
90007,2000,0.085,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
90008,2000,0.059,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90009,2000,0.078,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90010,2000,0.032,HDD,256,3.5,SATA 6.0 Gb/s
90011,1000,0.092,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90012,16000,0.144,SSD,,2.5,SATA 6.0 Gb/s
90013,2000,0.059,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90014,1000,0.105,SSD,1024,2.5,SATA 6.0 Gb/s
90015,1000,0.084,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90016,512,0.072,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90017,8000,0.149,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90018,500,0.14,SSD,512,M.2-2280,M.2 PCIe 3.0 X4
90019,1000,0.061,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90020,24000,0.02,HDD,512,3.5,SATA 6.0 Gb/s
90021,1000,0.11,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
90022,1000,0.071,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90023,500,0.086,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90024,2000,0.069,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90025,4000,0.077,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90026,4000,0.02,HDD,256,3.5,SATA 6.0 Gb/s
90027,2000,0.075,SSD,1024,M.2-2280,M.2 PCIe 3.0 X4
90028,1000,0.039,HDD,64,3.5,SATA 6.0 Gb/s
90029,4000,0.059,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90030,1200,2.074,SSD,,PCIe,PCIe x4
90031,2000,0.095,SSD,2048,2.5,SATA 6.0 Gb/s
90032,2000,0.054,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90033,1000,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90034,1000,0.061,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90035,2000,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90036,1000,0.062,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90037,2000,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90038,2000,,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
90039,8000,0.074,SSD,,2.5,SATA 6.0 Gb/s
90040,4000,0.107,SSD,,M.2-2280,M.2 PCIe 5.0 X4
90041,1000,0.045,HDD,64,3.5,SATA 6.0 Gb/s
90042,2000,0.053,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90043,1000,0.09,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90044,2000,0.069,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90045,500,0.103,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90046,24000,0.025,HDD,512,3.5,SATA 6.0 Gb/s
90047,4000,0.121,SSD,,M.2-2280,M.2 PCIe 5.0 X4
90048,1000,0.09,SSD,,M.2-2280,M.2 PCIe 5.0 X2
90049,2048,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90050,4000,0.081,SSD,4096,M.2-2280,M.2 PCIe 4.0 X4
90051,8000,0.016,HDD,256,3.5,SATA 6.0 Gb/s
90052,500,0.16,SSD,512,2.5,SATA 6.0 Gb/s
90053,1000,0.152,SSD,,M.2-2280,M.2 PCIe 5.0 X4
90054,240,0.117,SSD,,2.5,SATA 6.0 Gb/s
90055,500,0.18,SSD,512,M.2-2280,M.2 PCIe 4.0 X4
90056,2000,0.062,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90057,2000,0.082,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90058,1000,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90059,2000,0.066,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90060,4000,0.093,SSD,4096,2.5,SATA 6.0 Gb/s
90061,2000,0.074,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90062,1000,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90063,1000,0.065,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90064,2000,0.032,HDD,256,3.5,SATA 6.0 Gb/s
90065,256,0.086,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90066,2000,0.135,SSD,,M.2-2280,M.2 PCIe 5.0 X4
90067,8000,0.122,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90068,1000,0.057,SSD,,2.5,SATA 6.0 Gb/s
90069,2000,0.078,SSD,,M.2-2280,M.2 PCIe 5.0 X2
90070,1000,0.088,SSD,1024,2.5,SATA 6.0 Gb/s
90071,128,0.109,SSD,,2.5,SATA 6.0 Gb/s
90072,500,0.109,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90073,1000,0.065,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90074,2000,0.1,SSD,4096,M.2-2280,M.2 PCIe 5.0 X4
90075,512,0.072,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90076,1000,0.091,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90077,1024,0.098,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90078,1000,0.07,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90079,2000,0.096,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
90080,500,0.088,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90081,1000,0.071,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90082,8000,0.187,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90083,1000,0.085,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
90084,1000,0.028,HDD,64,3.5,SATA 6.0 Gb/s
90085,4000,0.182,SSD,,M.2-2280,M.2 PCIe 5.0 X4
90086,2000,0.092,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
90087,2000,0.095,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
90088,4000,0.035,HDD,256,3.5,SATA 6.0 Gb/s
90089,480,0.079,SSD,,2.5,SATA 6.0 Gb/s
90090,250,0.128,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90091,2000,0.086,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90092,1000,0.059,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90093,1000,0.084,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90094,128,0.14,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90095,2000,0.08,SSD,2048,2.5,SATA 6.0 Gb/s
90096,1000,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90097,1000,0.12,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
90098,8000,0.121,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90099,500,0.14,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90100,512,0.061,SSD,,2.5,SATA 6.0 Gb/s
90101,4000,0.025,HDD,256,3.5,SATA 6.0 Gb/s
90102,2000,0.051,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90103,1920,,SSD,,2.5,SATA 6.0 Gb/s
90104,500,0.148,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90105,960,0.065,SSD,,2.5,SATA 6.0 Gb/s
90106,512,0.066,SSD,,M.2-2280,M.2 SATA
90107,4000,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90108,1000,0.15,SSD,1024,2.5,SATA 6.0 Gb/s
90109,12000,0.017,HDD,256,3.5,SATA 6.0 Gb/s
90110,250,0.245,SSD,512,M.2-2280,M.2 PCIe 3.0 X4
90111,500,0.106,SSD,512,2.5,SATA 6.0 Gb/s
90112,2000,0.048,SSD,,2.5,SATA 6.0 Gb/s
90113,1000,0.072,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90114,4000,0.054,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90115,4000,0.06,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90116,2000,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90117,2000,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90118,1000,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90119,4000,0.137,SSD,,M.2-2280,M.2 PCIe 5.0 X4
90120,1000,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90121,320,0.041,HDD,8,2.5,SATA 3.0 Gb/s
90122,1000,0.078,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90123,2000,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90124,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90125,2000,0.14,SSD,,M.2-2280,M.2 PCIe 5.0 X4
90126,1000,0.139,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
90127,1000,,,64,2.5,SATA 6.0 Gb/s
90128,4000,0.018,HDD,256,3.5,SATA 6.0 Gb/s
90129,1000,0.1,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90130,1000,0.1,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90131,2000,0.059,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90132,120,0.117,SSD,,2.5,SATA 6.0 Gb/s
90133,2000,0.032,HDD,64,3.5,SATA 6.0 Gb/s
90134,1000,0.12,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
90135,4000,0.058,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90136,2000,0.063,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90137,1000,0.071,SSD,,2.5,SATA 6.0 Gb/s
90138,2000,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90139,18000,0.018,HDD,256,3.5,SATA 6.0 Gb/s
90140,4000,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90141,1200,1.25,SSD,,PCIe,PCIe x4
90142,6000,0.014,HDD,128,3.5,SATA 6.0 Gb/s
90143,1000,0.122,SSD,,2.5,SATA 6.0 Gb/s
90144,1000,0.095,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90145,8000,0.015,HDD,256,3.5,SATA 6.0 Gb/s
90146,1000,0.077,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90147,500,0.22,SSD,512,2.5,SATA 6.0 Gb/s
90148,1000,0.072,HDD,64,3.5,SATA 6.0 Gb/s
90149,1000,0.056,SSD,,M.2-2280,M.2 SATA
90150,1000,0.163,SSD,1024,M.2-2280,M.2 PCIe 3.0 X4
90151,2000,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90152,4000,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90153,4000,0.056,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90154,1000,0.1,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90155,1000,0.165,SSD,,M.2-2280,M.2 PCIe 5.0 X4
90156,2000,0.064,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90157,1000,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90158,4000,0.069,SSD,4096,M.2-2280,M.2 PCIe 4.0 X4
90159,250,,SSD,,2.5,SATA 6.0 Gb/s
90160,480,0.058,SSD,,2.5,SATA 6.0 Gb/s
90161,4000,0.112,SSD,,M.2-2280,M.2 PCIe 5.0 X4
90162,250,0.124,SSD,512,2.5,SATA 6.0 Gb/s
90163,4000,0.024,HDD,256,3.5,SATA 6.0 Gb/s
90164,16000,0.015,HDD,512,3.5,SATA 6.0 Gb/s
90165,2000,0.087,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90166,4000,0.068,SSD,,2.5,SATA 6.0 Gb/s
90167,500,0.184,SSD,1024,M.2-2280,M.2 PCIe 4.0 X4
